"","week","Lyft","Uber"
"1",2016-06-12,126,1345
"2",2016-06-19,1433,9152
"3",2016-06-26,1525,8527
"4",2016-07-03,1820,9587
"5",2016-07-10,1764,10463
"6",2016-07-17,2005,11004
"7",2016-07-24,1999,10466
"8",2016-07-31,1924,10720
"9",2016-08-07,1930,10632
"10",2016-08-14,2153,12181
"11",2016-08-21,2053,11780
"12",2016-08-28,2045,11005
"13",2016-09-04,2525,13329
"14",2016-09-11,2369,13603
"15",2016-09-18,2676,15425
"16",2016-09-25,2683,15351
"17",2016-10-02,2523,15275
"18",2016-10-09,3171,16605
"19",2016-10-16,3107,17953
"20",2016-10-23,2874,15426
"21",2016-10-30,2992,15733
"22",2016-11-06,3226,17240
"23",2016-11-13,3369,17291
"24",2016-11-20,2929,10650
"25",2016-11-27,4731,18144
"26",2016-12-04,2959,14723
"27",2016-12-11,2855,13779
"28",2016-12-18,2737,10593
"29",2016-12-25,4690,15441
