Year,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance,SomeInfo,Wikilink
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,"The 1930 FIFA World Cup was the inaugural FIFA World Cup, the world championship for men's national association football teams. It took place in Uruguay from 13 to 30 July 1930. FIFA, football's international governing body, selected Uruguay as host nation.",https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363000,The 1934 FIFA World Cup was the second FIFA World Cup which took place in Italy from 27 May to 10 June 1934. The 1934 World Cup was the first for which teams had to qualify to take part. ,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375700,"The 1938 FIFA World Cup was the third staging of the World Cup, and was held in France from 4 to 19 June 1938.",https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1045246,"The 1950 FIFA World Cup, held in Brazil from 24 June to 16 July 1950, was the fourth FIFA World Cup. It was the first World Cup since 1938, the planned 1942 and 1946 competitions having been cancelled due to the outbreak of World War II. ",https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,768607,"The 1954 FIFA World Cup, the fifth staging of the FIFA World Cup, was held in Switzerland from 16 June to 4 July. Switzerland was chosen as hosts in July 1946.",https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819810,"The 1958 FIFA World Cup, the sixth staging of the World Cup, was hosted by Sweden from 8 to 29 June.",https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893172,"The 1962 FIFA World Cup was the seventh FIFA World Cup, the quadrennial international football championship for men's national teams. It was held from 30 May to 17 June 1962 in Chile. The qualificationrounds took place between August 1960 and December 1961, with 56 teams entering from six confederations.",https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
1966,England,England,Germany FR,Portugal,Soviet Union,89,16,32,1563135,The 1966 FIFA World Cup was the eighth FIFA World Cup and was held in Englandfrom 11 to 30 July 1966.,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1603975,"The 1970 FIFA World Cup was the ninth FIFA World Cup, the quadrennial international footballchampionship for men's national teams. Held from 31 May to 21 June in Mexico, it was the first World Cup tournament staged in North America, and the first held outside Europe and South America. Teams representing 75 nations from all six populated continents entered the competition, and its qualification roundsbegan in May 1968. ",https://en.wikipedia.org/wiki/1970_FIFA_World_Cup
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,1865753,"The 1974 FIFA World Cup, the tenth staging of the World Cup, was held in West Germany(including West Berlin) from 13 June to 7 July. The tournament marked the first time that the current trophy, the FIFA World Cup Trophy, created by the Italian sculptor Silvio Gazzaniga, was awarded. The previous trophy, the Jules Rimet Trophy, had been won for the third time by Brazil in 1970 and awarded permanently to the Brazilians.",https://en.wikipedia.org/wiki/1974_FIFA_World_Cup
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1545791,"The 1978 FIFA World Cup, the 11th staging of the FIFA World Cup, quadrennialinternational footballworld championship tournament, was held in Argentina between 1 and 25 June.",https://en.wikipedia.org/wiki/1978_FIFA_World_Cup
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2109723,"The 1982 FIFA World Cup, the 12th FIFA World Cup, was held in Spain from 13 June to 11 July 1982.",https://en.wikipedia.org/wiki/1982_FIFA_World_Cup
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2394031,"The 1986 FIFA World Cup, the 13th FIFA World Cup, was held in Mexico from 31 May to 29 June 1986. The tournament was the second to feature a 24-team format. With European nations not allowed to host after the previous World Cup in Spain, Colombia had been originally chosen to host the competition by FIFA but, largely due to economic reasons, was not able to do so and officially resigned in 1982. Mexico was selected as the new host in May 1983. This was the third FIFA World Cup tournament in succession that was hosted by a Spanish-speaking country, after Spain in 1982, and Argentina in 1978.",https://en.wikipedia.org/wiki/1986_FIFA_World_Cup
1990,Italy,Germany FR,Argentina,Italy,England,115,24,52,2516215,"The 1990 FIFA World Cup was the 14th FIFA World Cup, the quadrennial international footballworld championship tournament. It was held from 8 June to 8 July 1990 in Italy, the second country to host the event twice (the first being Mexico in 1986). Teams representing 116 national football associations entered and qualification began in April 1988. ",https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3587538,"The 1994 FIFA World Cup was the 15th FIFA World Cup, held in nine cities across the United States from 17 June to 17 July 1994. The United States was chosen as the host by FIFA on 4 July 1988. Despite the host nation's lack of a national top-level football league, the tournament was the most financially successful in World Cup history; aided by the large capacity stadia in the US it broke the World Cup average attendance record with nearly 69,000 spectators per game, a mark that still stands.",https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2785100,"The 1998 FIFA World Cup was the 16th FIFA World Cup, the world championship for men's nationalassociation footballteams. It was held in France from 10 June to 12 July 1998. The country was chosen as the host nation by FIFAfor the second time in the history of the tournament, defeating Morocco in the bidding process. It was the second time that France staged the competition (the first was in 1938), and the ninth time that it was held in Europe.",https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2705197,"The 2002 FIFA World Cup was the 17th FIFA World Cup, the quadrennial world championship for men's national footballteams organized by FIFA. It was held from 31 May to 30 June 2002 at sites in South Korea and Japan, with its final match hosted by Japan at International Stadiumin Yokohama.",https://en.wikipedia.org/wiki/2002_FIFA_World_Cup
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3359439,"The 2006 FIFA World Cup was the 18th FIFA World Cup, the quadrennialinternational footballworld championship tournament. It was held from 9 June to 9 July 2006 in Germany, which won the right to host the event in July 2000. Teamsrepresenting 198 national football associations from all six populated continents participated in the qualificationprocess which began in September 2003. ",https://en.wikipedia.org/wiki/2006_FIFA_World_Cup
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3178856,"The 2010 FIFA World Cup was the 19th FIFA World Cup, the world championship for men's nationalassociation footballteams. It took place in South Africa from 11 June to 11 July 2010. The bidding process for hosting the tournament finals was open only to African nations. In 2004, the international football federation, FIFA, selected South Africa over Egypt and Morocco to become the first African nation to host the finals.",https://en.wikipedia.org/wiki/2010_FIFA_World_Cup
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3386810,"The 2014 FIFA World Cup was the 20th FIFA World Cup, the quadrennial world championship for men's national footballteams organized by FIFA. It took place in Brazil from 12 June to 13 July 2014, after the country was awarded the hosting rights in 2007. It was the second time that Brazil staged the competition, the first being in 1950, and the fifth time that it was held in South America.",https://en.wikipedia.org/wiki/2014_FIFA_World_Cup
